Date,Open,High,Low,Close,Adj Close,Volume
2012-11-30,28.270000,28.420000,27.969999,28.170000,24.320292,3279800
2012-12-03,28.309999,28.410000,27.760000,27.910000,24.095821,4293100
2012-12-04,27.879999,27.969999,27.520000,27.690001,23.905890,4064600
2012-12-05,27.680000,28.010000,27.680000,27.860001,24.052652,5822000
2012-12-06,27.830000,28.240000,27.760000,28.230000,24.372087,4312000
2012-12-07,28.270000,28.490000,28.230000,28.420000,24.536125,3646700
2012-12-10,28.320000,28.580000,28.129999,28.360001,24.484325,3238500
2012-12-11,28.340000,28.610001,28.330000,28.459999,24.570660,3637200
2012-12-12,28.600000,29.100000,28.530001,28.840000,24.898731,5792800
2012-12-13,28.879999,28.910000,28.430000,28.580000,24.674259,4035300
2012-12-14,28.530001,28.570000,28.250000,28.290001,24.423895,3248800
2012-12-17,28.480000,29.180000,28.379999,29.150000,25.166363,4658800
2012-12-18,29.250000,29.670000,29.000000,29.639999,25.589401,7419600
2012-12-19,29.389999,29.770000,29.309999,29.510000,25.477165,3949400
2012-12-20,29.510000,29.730000,29.360001,29.639999,25.589401,3726400
2012-12-21,29.500000,29.570000,29.219999,29.450001,25.425365,5184700
2012-12-24,29.410000,29.440001,29.090000,29.240000,25.244064,1395900
2012-12-26,29.280001,29.389999,29.080000,29.209999,25.218161,2208100
2012-12-27,29.200001,29.270000,28.620001,29.059999,25.088661,3156300
2012-12-28,28.760000,29.090000,28.730000,28.850000,24.907364,2847400
2012-12-31,28.760000,29.120001,28.709999,29.110001,25.131832,4434300
2013-01-02,29.690001,30.080000,29.540001,30.070000,26.140236,5102600
2013-01-03,30.040001,30.230000,29.770000,29.920000,26.009836,6147100
2013-01-04,29.600000,30.219999,29.600000,30.200001,26.253242,4011600
2013-01-07,30.059999,30.230000,29.730000,30.040001,26.114155,2751100
2013-01-08,30.059999,30.139999,29.620001,29.830000,25.931602,3848800
2013-01-09,29.930000,30.240000,29.870001,30.040001,26.114155,3099900
2013-01-10,30.250000,30.580000,30.160000,30.540001,26.548813,4303800
2013-01-11,30.540001,30.540001,30.030001,30.309999,26.348869,2946200
2013-01-14,30.320000,30.370001,29.920000,30.260000,26.305401,2628400
2013-01-15,30.110001,30.370001,30.030001,30.320000,26.357565,2216900
2013-01-16,30.219999,30.459999,30.090000,30.309999,26.348869,3481800
2013-01-17,30.600000,31.090000,30.309999,30.889999,26.853067,6910000
2013-01-18,31.170000,31.219999,30.709999,31.040001,26.983465,6127400
2013-01-22,31.020000,31.120001,30.799999,30.850000,26.818298,4992300
2013-01-23,30.770000,30.980000,30.639999,30.760000,26.740059,5138700
2013-01-24,30.790001,31.080000,30.760000,30.910000,26.870453,2852700
2013-01-25,31.010000,31.190001,30.770000,30.870001,26.835682,3372000
2013-01-28,30.940001,31.010000,30.629999,31.000000,26.948692,2937500
2013-01-29,30.940001,31.030001,30.820000,30.930000,26.887842,3274200
2013-01-30,30.840000,30.879999,30.500000,30.559999,26.566195,4882800
2013-01-31,30.530001,30.549999,30.129999,30.280001,26.322788,6225200
2013-02-01,30.540001,31.360001,30.520000,31.120001,27.053015,6303200
2013-02-04,30.940001,30.950001,30.500000,30.520000,26.531427,3814800
2013-02-05,31.120001,31.120001,30.650000,31.020000,26.966084,5978100
2013-02-06,30.740000,30.889999,30.650000,30.860001,27.027388,3896800
2013-02-07,30.870001,30.870001,30.469999,30.670000,26.860983,3378900
2013-02-08,30.670000,30.750000,30.510000,30.650000,26.843466,3169600
2013-02-11,30.670000,30.799999,30.559999,30.629999,26.825951,2331900
2013-02-12,30.660000,30.690001,30.400000,30.600000,26.799677,3294500
2013-02-13,30.629999,30.660000,30.400000,30.520000,26.729612,2954300
2013-02-14,30.420000,30.559999,30.280001,30.360001,26.589485,3035800
2013-02-15,30.420000,30.480000,30.180000,30.270000,26.510656,2873600
2013-02-19,30.309999,30.450001,30.280001,30.370001,26.598242,3682000
2013-02-20,30.299999,30.410000,29.980000,30.000000,26.274193,4151800
2013-02-21,29.950001,30.190001,29.860001,30.040001,26.309229,4902400
2013-02-22,30.190001,30.600000,30.100000,30.580000,26.782160,3520500
2013-02-25,30.799999,30.900000,29.889999,29.889999,26.177856,4591300
2013-02-26,30.090000,30.250000,29.889999,30.080000,26.344261,4434400
2013-02-27,30.059999,30.450001,29.959999,30.389999,26.615757,3797600
2013-02-28,30.330000,30.680000,30.250000,30.360001,26.589485,4523600
2013-03-01,30.209999,30.730000,30.010000,30.660000,26.852222,3699100
2013-03-04,30.580000,31.129999,30.570000,31.129999,27.263853,3816000
2013-03-05,31.230000,31.250000,30.350000,30.410000,26.633276,7691800
2013-03-06,30.530001,30.670000,30.219999,30.670000,26.860983,5936100
2013-03-07,30.700001,31.330000,30.700001,31.120001,27.255096,5029400
2013-03-08,31.559999,31.709999,31.070000,31.400000,27.500320,5943100
2013-03-11,31.330000,31.780001,31.330000,31.780001,27.833128,4029400
2013-03-12,31.719999,31.809999,31.160000,31.370001,27.474051,3852000
2013-03-13,31.389999,31.590000,31.309999,31.570000,27.649210,2283600
2013-03-14,31.580000,31.750000,31.360001,31.730000,27.789337,3702600
2013-03-15,30.740000,31.200001,30.670000,30.980000,27.132483,11087300
2013-03-18,30.660000,30.879999,30.559999,30.750000,26.931047,5127400
2013-03-19,30.840000,30.920000,30.600000,30.790001,26.966084,3485700
2013-03-20,30.940001,31.020000,30.799999,30.969999,27.123726,3568100
2013-03-21,30.799999,30.930000,30.570000,30.639999,26.834713,2681900
2013-03-22,30.690001,30.900000,30.670000,30.799999,26.974838,2064700
2013-03-25,30.879999,30.950001,30.680000,30.820000,26.992357,3220000
2013-03-26,30.950001,31.270000,30.830000,31.209999,27.333918,3357300
2013-03-27,30.980000,31.330000,30.889999,31.280001,27.395222,3060700
2013-03-28,31.250000,31.420000,31.059999,31.389999,27.491562,4301400
2013-04-01,31.410000,31.420000,30.700001,30.889999,27.053661,3302900
2013-04-02,30.920000,31.010000,30.520000,30.660000,26.852222,3377800
2013-04-03,30.680000,30.780001,30.090000,30.170000,26.423080,4098700
2013-04-04,30.180000,30.650000,30.100000,30.610001,26.808435,3662300
2013-04-05,30.190001,30.260000,29.820000,30.100000,26.361771,5401900
2013-04-08,30.100000,30.400000,29.900000,30.379999,26.606998,4040800
