Date,Open,High,Low,Close,Adj Close,Volume
2012-11-30,41.529999,41.790001,41.389999,41.610001,37.910538,5116800
2012-12-03,41.810001,42.080002,41.209999,41.230000,37.564320,3623400
2012-12-04,41.209999,41.340000,40.900002,41.000000,37.354763,3530100
2012-12-05,41.150002,41.270000,40.549999,40.869999,37.236324,3269600
2012-12-06,40.869999,40.910000,40.110001,40.560001,36.953888,4292200
2012-12-07,40.860001,41.310001,40.820000,41.150002,37.491436,3371400
2012-12-10,40.910000,41.110001,40.470001,40.779999,37.154335,2980300
2012-12-11,40.980000,40.980000,40.160000,40.369999,36.780788,4926400
2012-12-12,40.619999,41.220001,40.360001,41.000000,37.354763,3962400
2012-12-13,41.000000,41.000000,40.090000,40.380001,36.789894,3242600
2012-12-14,40.279999,40.380001,39.400002,39.540001,36.024582,5091000
2012-12-17,39.650002,40.759998,39.650002,40.180000,36.607677,6641500
2012-12-18,40.799999,40.880001,39.599998,40.529999,36.926556,8984300
2012-12-19,40.700001,40.700001,39.650002,39.770000,36.234131,6881300
2012-12-20,38.549999,38.980000,37.570000,38.410000,34.995052,16827700
2012-12-21,38.110001,39.430000,37.820000,38.500000,35.077045,10316300
2012-12-24,38.549999,38.990002,38.459999,38.509998,35.086155,2182800
2012-12-26,38.580002,38.930000,38.139999,38.340000,34.931263,4536500
2012-12-27,38.330002,38.389999,37.360001,37.959999,34.585052,4636200
2012-12-28,38.110001,38.340000,37.840000,37.990002,34.612385,4202000
2012-12-31,37.520000,38.570000,37.459999,38.549999,35.252506,4339000
2013-01-02,39.389999,39.689999,39.009998,39.529999,36.148685,4693300
2013-01-03,39.599998,39.959999,39.400002,39.400002,36.029797,5514100
2013-01-04,39.590000,40.049999,39.340000,40.040001,36.615051,4004000
2013-01-07,39.799999,39.910000,39.230000,39.419998,36.048096,4672400
2013-01-08,39.340000,40.090000,39.310001,40.090000,36.660774,4370100
2013-01-09,40.119999,40.349998,39.730000,39.849998,36.441307,3547100
2013-01-10,40.150002,40.599998,40.049999,40.480000,37.017422,5816700
2013-01-11,40.320000,40.630001,40.240002,40.389999,36.935112,2799800
2013-01-14,40.400002,40.439999,39.599998,39.730000,36.331577,3516100
2013-01-15,39.400002,39.660000,39.049999,39.340000,35.974926,6245400
2013-01-16,39.250000,39.490002,39.000000,39.130001,35.782890,4576000
2013-01-17,39.349998,39.540001,39.000000,39.290001,35.929211,3089300
2013-01-18,38.959999,38.959999,38.299999,38.549999,35.252506,10339600
2013-01-22,38.490002,38.910000,38.000000,38.889999,35.563423,6241900
2013-01-23,38.869999,39.230000,38.740002,38.810001,35.490269,4785200
2013-01-24,38.849998,39.250000,38.730000,39.139999,35.792030,4326000
2013-01-25,39.220001,39.320000,38.910000,39.090000,35.746319,2882500
2013-01-28,39.070000,39.080002,38.029999,38.060001,34.804428,7236500
2013-01-29,37.900002,38.160000,37.619999,38.110001,34.850143,7534600
2013-01-30,38.110001,38.220001,37.619999,38.080002,34.822708,7111100
2013-01-31,38.130001,38.840000,37.490002,38.389999,35.106194,12109600
2013-02-01,38.660000,39.160000,38.430000,38.799999,35.481136,7068600
2013-02-04,38.459999,38.880001,38.250000,38.580002,35.279945,5836100
2013-02-05,38.730000,39.419998,38.639999,39.279999,35.920055,4248000
2013-02-06,39.080002,39.490002,39.040001,39.330002,35.965794,3411800
2013-02-07,39.480000,39.730000,38.720001,39.349998,35.984074,3531200
2013-02-08,39.910000,40.349998,39.689999,39.880001,36.468739,5287900
2013-02-11,39.779999,40.290001,39.680000,40.029999,36.605911,3730000
2013-02-12,39.990002,40.169998,39.459999,39.480000,36.102955,5216200
2013-02-13,39.459999,39.680000,39.110001,39.220001,35.865196,3942400
2013-02-14,39.049999,39.570000,38.900002,39.520000,36.139530,3935100
2013-02-15,39.630001,39.820000,38.970001,39.150002,35.801186,3924100
2013-02-19,39.220001,39.590000,39.200001,39.529999,36.148685,4758800
2013-02-20,39.419998,39.570000,38.889999,38.930000,35.600002,3690200
2013-02-21,38.779999,38.790001,38.040001,38.330002,35.051331,6532800
2013-02-22,38.570000,38.959999,38.450001,38.889999,35.563423,2966400
2013-02-25,39.049999,39.200001,37.910000,37.939999,34.694691,4481900
2013-02-26,38.080002,38.169998,37.240002,37.799999,34.566662,6108300
2013-02-27,37.810001,38.549999,37.599998,38.400002,35.115326,4723900
2013-02-28,38.340000,38.820000,38.230000,38.529999,35.234211,6007200
2013-03-01,38.320000,39.160000,37.889999,39.080002,35.737175,5413700
2013-03-04,38.930000,39.779999,38.889999,39.759998,36.358997,3637000
2013-03-05,40.150002,40.810001,40.110001,40.580002,37.108864,4996300
2013-03-06,41.119999,41.630001,41.119999,41.290001,37.758141,6187000
2013-03-07,41.430000,41.639999,41.250000,41.570000,38.014183,4349800
2013-03-08,41.770000,41.799999,40.770000,41.369999,37.831291,3817400
2013-03-11,41.290001,42.160000,41.290001,41.840000,38.261089,4911600
2013-03-12,41.759998,42.500000,41.709999,42.130001,38.526276,6050300
2013-03-13,42.759998,43.520000,42.470001,43.060001,39.376732,6228500
2013-03-14,43.310001,43.330002,42.750000,42.849998,39.184689,6030700
2013-03-15,43.500000,44.230000,43.150002,44.139999,40.364357,9849900
2013-03-18,43.750000,44.430000,43.570000,44.240002,40.455795,5558400
2013-03-19,44.919998,45.000000,43.529999,44.240002,40.455795,8245600
2013-03-20,44.450001,45.000000,44.349998,44.959999,41.114204,5222500
2013-03-21,44.660000,44.980000,44.349998,44.459999,40.656975,5722600
2013-03-22,44.520000,45.130001,44.500000,45.000000,41.150780,3804600
2013-03-25,45.360001,45.380001,44.500000,44.869999,41.031910,4418100
2013-03-26,45.230000,45.259998,44.740002,45.020000,41.169083,4865300
2013-03-27,44.709999,45.090000,44.490002,44.980000,41.132504,4334400
2013-03-28,45.099998,45.150002,44.590000,44.840000,41.004467,3110900
2013-04-01,44.720001,44.950001,43.849998,44.029999,40.263756,3514200
2013-04-02,44.189999,44.799999,44.099998,44.680000,40.858158,4118800
2013-04-03,44.619999,44.869999,43.340000,43.419998,39.705936,3981900
2013-04-04,43.459999,43.759998,42.830002,43.240002,39.541332,4400200
2013-04-05,42.709999,43.160000,42.320000,43.070000,39.385864,4452400
2013-04-08,43.009998,43.709999,42.840000,43.709999,39.971127,3655100
2013-04-09,43.700001,43.779999,43.270000,43.299999,39.596203,3872700
2013-04-10,43.290001,43.880001,42.709999,42.970001,39.294437,6121500
2013-04-11,42.939999,43.250000,42.310001,42.959999,39.285278,8510300
2013-04-12,42.660000,43.400002,42.580002,43.310001,39.605347,8565900
2013-04-15,43.180000,43.380001,42.119999,42.250000,38.636013,6380000
2013-04-16,42.560001,43.090000,42.509998,43.009998,39.331001,5152700
2013-04-17,42.750000,42.820000,42.119999,42.500000,38.864635,4823300
2013-04-18,42.570000,43.029999,42.160000,42.549999,38.910351,4366900
2013-04-19,42.840000,43.389999,42.790001,43.340000,39.632778,4769500
2013-04-22,43.369999,43.680000,42.740002,43.610001,39.879684,5597100
2013-04-23,45.080002,45.610001,43.529999,44.330002,40.538109,9149800
2013-04-24,44.130001,44.470001,43.840000,44.150002,40.373501,5131500
2013-04-25,44.230000,44.669998,43.950001,44.279999,40.492371,6605100
2013-04-26,44.290001,44.500000,43.650002,43.919998,40.163170,3621200
2013-04-29,44.180000,44.189999,43.759998,43.980000,40.218029,2798000
2013-04-30,43.939999,44.150002,43.709999,43.740002,39.998562,4837300
2013-05-01,43.680000,44.189999,43.669998,43.849998,40.099152,3768000
2013-05-02,43.970001,44.970001,43.730000,44.919998,41.077637,4193700
2013-05-03,45.310001,46.060001,45.299999,45.930000,42.001240,5457300
2013-05-06,45.959999,46.369999,45.700001,46.310001,42.348724,4284000
2013-05-07,46.310001,46.360001,45.810001,45.970001,42.220154,3379100
2013-05-08,45.980000,46.110001,45.669998,46.060001,42.302814,3091300
2013-05-09,46.060001,46.080002,45.389999,45.540001,41.825233,4157200
2013-05-10,45.590000,45.779999,45.349998,45.590000,41.871155,2689600
2013-05-13,45.450001,45.480000,44.950001,45.209999,41.522144,2957300
2013-05-14,45.270000,46.619999,45.270000,46.580002,42.780388,4521700
2013-05-15,46.500000,47.570000,46.439999,47.250000,43.395737,4046800
2013-05-16,47.130001,47.240002,46.410000,46.480000,42.688541,3889700
2013-05-17,46.529999,47.740002,46.470001,47.700001,43.809032,3242900
2013-05-20,47.740002,48.900002,47.700001,48.189999,44.259071,4588000
