Date,Open,High,Low,Close,Adj Close,Volume
30/11/2012,6.18,6.19,6.13,6.17,5.475956,9844500
03/12/2012,6.18,6.2,6.1,6.12,5.43158,11172200
04/12/2012,6.11,6.16,5.99,6.01,5.333954,17964700
05/12/2012,6.04,6.17,6.04,6.1,5.413831,11408500
06/12/2012,6.09,6.16,6.05,6.16,5.46708,7706600
07/12/2012,6.16,6.18,6.08,6.18,5.48483,10350900
10/12/2012,6.17,6.3,6.14,6.24,5.538082,9893800
11/12/2012,6.25,6.31,6.24,6.26,5.555831,12646000
12/12/2012,6.28,6.35,6.22,6.25,5.546956,15484500
13/12/2012,6.19,6.23,6.11,6.17,5.475956,16847700
14/12/2012,6.13,6.21,6.12,6.16,5.502755,11223100
17/12/2012,6.16,6.31,6.16,6.31,5.63675,9162500
18/12/2012,6.33,6.42,6.3,6.4,5.717148,12474200
19/12/2012,6.51,6.51,6.35,6.4,5.717148,12364500
20/12/2012,6.39,6.44,6.33,6.39,5.708215,9774200
21/12/2012,6.27,6.37,6.19,6.37,5.690347,15105100
24/12/2012,6.38,6.38,6.29,6.33,5.654617,2289100
26/12/2012,6.34,6.39,6.29,6.34,5.663549,5133800
27/12/2012,6.34,6.36,6.24,6.34,5.663549,6252000
28/12/2012,6.27,6.34,6.27,6.28,5.609951,4408100
31/12/2012,6.25,6.4,6.25,6.39,5.708215,6685600
02/01/2013,6.59,6.6,6.48,6.57,5.869011,9507900
03/01/2013,6.58,6.67,6.53,6.65,5.940474,10460000
04/01/2013,6.65,6.73,6.63,6.69,5.976206,11162200
07/01/2013,6.7,6.71,6.63,6.7,5.985139,9202200
08/01/2013,6.69,6.71,6.59,6.65,5.940474,10895100
09/01/2013,6.64,6.73,6.56,6.58,5.877942,10451100
10/01/2013,6.67,6.7,6.62,6.67,5.95834,11404300
11/01/2013,6.68,6.7,6.56,6.59,5.886876,10120400
14/01/2013,6.59,6.61,6.54,6.59,5.886876,3947500
15/01/2013,6.54,6.66,6.54,6.64,5.93154,10025900
16/01/2013,6.62,6.72,6.61,6.72,6.003005,11739600
17/01/2013,6.86,7.03,6.8,7,6.253131,35543800
18/01/2013,7.07,7.1,6.91,7,6.253131,11525900
22/01/2013,7.05,7.09,7.03,7.08,6.324595,13144800
23/01/2013,7.1,7.1,7,7.03,6.27993,12819200
24/01/2013,7.05,7.08,6.95,6.99,6.244197,8350500
25/01/2013,7,7.04,6.92,6.93,6.190599,7989400
28/01/2013,6.96,6.98,6.9,6.94,6.199533,8029600
29/01/2013,6.91,6.97,6.86,6.89,6.154867,15664800
30/01/2013,6.9,7,6.86,6.97,6.226331,10290700
31/01/2013,6.94,6.98,6.88,6.96,6.217398,7149300
01/02/2013,7.02,7.11,6.96,7.08,6.324595,9893900
04/02/2013,7.05,7.1,7.01,7.02,6.270997,12837700
05/02/2013,7.08,7.15,7.05,7.12,6.360327,10672500
06/02/2013,7.08,7.14,7.07,7.11,6.351395,5287100
07/02/2013,7.13,7.15,7.05,7.14,6.378194,8097500
08/02/2013,7.15,7.2,7.09,7.2,6.431792,10740500
11/02/2013,7.19,7.19,7.11,7.12,6.360327,6325900
12/02/2013,7.12,7.22,7.12,7.22,6.449656,13159900
13/02/2013,7.23,7.24,7.1,7.13,6.36926,9643200
14/02/2013,7.1,7.18,7.08,7.17,6.404992,11092500
15/02/2013,7.12,7.18,7.09,7.1,6.342461,12188700
19/02/2013,7.12,7.17,7.09,7.14,6.378194,11956700
20/02/2013,7.13,7.17,7,7.01,6.262063,14155900
21/02/2013,7.01,7.02,6.83,6.86,6.128068,19455500
22/02/2013,6.92,6.98,6.9,6.98,6.235264,12689100
25/02/2013,7.04,7.07,6.8,6.8,6.07447,9527800
26/02/2013,6.81,6.89,6.75,6.8,6.07447,12172000
27/02/2013,6.82,7.06,6.81,7.03,6.27993,15476000
28/02/2013,7.02,7.09,6.99,7.03,6.27993,11466100
01/03/2013,7,7.1,6.94,7.07,6.315661,6962600
04/03/2013,7.03,7.23,7.02,7.21,6.440725,10125000
05/03/2013,7.23,7.25,7.11,7.18,6.413924,16411800
06/03/2013,7.22,7.25,7.19,7.22,6.449656,8205300
07/03/2013,7.23,7.36,7.2,7.34,6.556854,11209000
08/03/2013,7.42,7.46,7.32,7.36,6.57472,8971800
11/03/2013,7.33,7.43,7.29,7.4,6.610452,8650000
12/03/2013,7.38,7.43,7.34,7.38,6.592585,8429700
13/03/2013,7.37,7.47,7.36,7.47,6.672984,7831100
14/03/2013,7.46,7.5,7.43,7.5,6.735852,12371000
15/03/2013,7.5,7.55,7.45,7.51,6.744833,14791900
18/03/2013,7.38,7.49,7.29,7.43,6.672984,7654200
19/03/2013,7.48,7.51,7.41,7.48,6.71789,11007400
20/03/2013,7.5,7.53,7.46,7.5,6.735852,8106800
21/03/2013,7.46,7.53,7.42,7.45,6.690946,7950800
22/03/2013,7.45,7.48,7.34,7.38,6.628079,22775200
25/03/2013,7.41,7.42,7.32,7.35,6.601135,9011100
26/03/2013,7.41,7.48,7.36,7.47,6.708909,9384400
27/03/2013,7.4,7.44,7.36,7.41,6.655021,5233500
28/03/2013,7.42,7.46,7.36,7.37,6.619097,6387300
01/04/2013,7.4,7.44,7.31,7.33,6.583173,6307300
02/04/2013,7.33,7.36,7.26,7.27,6.529286,6672300
03/04/2013,7.27,7.32,7.14,7.19,6.457436,8478500
04/04/2013,7.19,7.26,7.15,7.25,6.511323,6662600
05/04/2013,7.14,7.24,7.1,7.21,6.475399,10482500
08/04/2013,7.23,7.38,7.18,7.35,6.601135,8691800
09/04/2013,7.38,7.43,7.33,7.39,6.637058,6412800
10/04/2013,7.43,7.5,7.43,7.45,6.690946,8118900
11/04/2013,7.46,7.51,7.41,7.47,6.708909,12434300
12/04/2013,7.43,7.47,7.35,7.39,6.637058,8137100
15/04/2013,7.33,7.38,7.15,7.15,6.421511,11352000
16/04/2013,7.26,7.27,7.15,7.22,6.484379,13484200
17/04/2013,7.14,7.19,6.93,7.01,6.295776,18631200
18/04/2013,6.95,6.99,6.82,6.86,6.161058,15942300
19/04/2013,6.91,7.02,6.84,7,6.286795,10057600
22/04/2013,7,7.03,6.93,6.98,6.268833,7030700
23/04/2013,7.01,7.08,6.97,7.06,6.340681,13094400
24/04/2013,7.07,7.1,7.02,7.1,6.376606,12601400
25/04/2013,7.14,7.19,7.1,7.11,6.385587,7702000
26/04/2013,7.12,7.15,7.05,7.11,6.385587,5792700
29/04/2013,7.15,7.16,7.11,7.13,6.403549,4769700
30/04/2013,7.14,7.18,7.1,7.17,6.439474,7918100
01/05/2013,7.15,7.19,7.06,7.06,6.340681,7256800
02/05/2013,7.07,7.17,7.05,7.12,6.394568,5344200
03/05/2013,7.2,7.28,7.17,7.27,6.529286,8021700
06/05/2013,7.29,7.35,7.26,7.33,6.583173,7332400
07/05/2013,7.34,7.47,7.32,7.46,6.699926,9494700
08/05/2013,7.45,7.48,7.38,7.46,6.699926,6294400
09/05/2013,7.48,7.5,7.42,7.43,6.672984,7159400
10/05/2013,7.49,7.5,7.43,7.49,6.72687,6820300
13/05/2013,7.49,7.52,7.43,7.49,6.72687,6254000
14/05/2013,7.48,7.7,7.48,7.69,6.906494,10846300
15/05/2013,7.68,7.81,7.66,7.7,6.915475,10673300
16/05/2013,7.68,7.69,7.57,7.59,6.816682,12217500
17/05/2013,7.68,7.75,7.65,7.74,6.9514,6756800
20/05/2013,7.7,7.78,7.69,7.73,6.942418,6312900
21/05/2013,7.7,7.75,7.65,7.69,6.906494,8932300
22/05/2013,7.69,7.81,7.52,7.56,6.789737,12329900
23/05/2013,7.5,7.55,7.43,7.52,6.753814,8727300
24/05/2013,7.44,7.55,7.44,7.54,6.771776,5387900
28/05/2013,7.62,7.68,7.6,7.62,6.843626,10122400
29/05/2013,7.53,7.74,7.53,7.71,6.924454,11202200
30/05/2013,7.7,7.95,7.7,7.89,7.086116,15903100
31/05/2013,7.88,7.91,7.75,7.75,6.96038,9132800
03/06/2013,7.75,7.79,7.61,7.72,6.933436,9069400
04/06/2013,7.74,7.78,7.6,7.62,6.843626,8473300
05/06/2013,7.58,7.67,7.47,7.51,6.744833,11802900
06/06/2013,7.48,7.58,7.44,7.55,6.780757,8927200
07/06/2013,7.61,7.69,7.56,7.68,6.897511,7544400
10/06/2013,7.7,7.82,7.69,7.81,7.014267,7180100
11/06/2013,7.72,7.77,7.66,7.68,6.897511,6278800
12/06/2013,7.73,7.77,7.59,7.59,6.816682,12027900
13/06/2013,7.54,7.75,7.52,7.73,6.988455,11088100
14/06/2013,7.72,7.74,7.53,7.53,6.807641,9668000
17/06/2013,7.56,7.68,7.5,7.56,6.834764,9004700
18/06/2013,7.55,7.64,7.53,7.62,6.889007,6196600
19/06/2013,7.62,7.62,7.47,7.47,6.753397,10601200
20/06/2013,7.4,7.65,7.38,7.51,6.789559,17656900
21/06/2013,7.61,7.72,7.52,7.66,6.925169,15523400
24/06/2013,7.63,7.7,7.56,7.61,6.879966,12196300
25/06/2013,7.69,7.82,7.63,7.78,7.033659,11143300
26/06/2013,7.93,7.96,7.81,7.86,7.105984,12042500
27/06/2013,7.91,7.92,7.84,7.88,7.124066,12628000
28/06/2013,7.85,7.91,7.8,7.87,7.115024,8345700
01/07/2013,7.95,8.12,7.9,8.03,7.259675,11313700
02/07/2013,8.06,8.25,8.05,8.22,7.431449,19237800
03/07/2013,8.16,8.24,8.15,8.2,7.413368,5710300
05/07/2013,8.31,8.5,8.28,8.5,7.684588,11280400
