Date,Open,High,Low,Close,Adj Close,Volume
30/11/2012,97.410004,97.93,96.940002,97.730003,87.609848,740000
03/12/2012,97.900002,98.150002,96.93,97.18,87.116791,502800
04/12/2012,97.209999,97.639999,96.029999,96.150002,86.193459,899100
05/12/2012,96.529999,97,95.68,96.32,86.345863,755600
06/12/2012,96.330002,97.470001,96.150002,97.339996,87.260216,934100
07/12/2012,97.349998,97.739998,96.849998,97.639999,87.52916,571000
10/12/2012,97.349998,99.400002,97.040001,97.989998,87.842926,723800
11/12/2012,98.220001,98.489998,97.510002,97.800003,87.672592,684800
12/12/2012,97.940002,98.870003,97.610001,98.110001,87.950493,948400
13/12/2012,98.660004,99.18,97.760002,98.25,88.076019,718700
14/12/2012,97.709999,98.139999,97.650002,97.910004,87.771187,895200
17/12/2012,98.220001,100.150002,97.809998,99.889999,89.546173,1367300
18/12/2012,100.029999,101.230003,99.57,101.230003,90.747414,1882100
19/12/2012,100.809998,101.629997,100.349998,100.620003,90.200577,695600
20/12/2012,100.620003,101.419998,100.470001,101.129997,90.657753,654200
21/12/2012,99.959999,100.580002,99.470001,99.860001,89.519287,1693000
24/12/2012,99.57,99.639999,98.910004,99.150002,88.882805,231900
26/12/2012,99.540001,99.699997,98.32,98.870003,88.63179,396400
27/12/2012,99.040001,99.120003,97,98.260002,88.084961,576800
28/12/2012,97.510002,98.43,97.489998,97.550003,87.448486,552600
31/12/2012,97.459999,98.5,97.099998,98.470001,88.273216,627800
02/01/2013,100.330002,101.029999,99.589996,101.029999,90.568115,704900
03/01/2013,100.949997,101.269997,100.18,101.129997,90.657753,727000
04/01/2013,101.199997,102.860001,101,102.800003,92.154854,852100
07/01/2013,102.489998,102.529999,101.470001,102.459999,91.850037,612400
08/01/2013,102.190002,102.419998,101.389999,102.349998,91.751427,828200
09/01/2013,102.489998,103.160004,102.279999,102.800003,92.154854,483200
10/01/2013,103.440002,103.830002,102.790001,103.540001,92.818214,681900
11/01/2013,103.25,103.809998,102.279999,103.239998,92.549278,619000
14/01/2013,103.040001,103.309998,102.019997,102.790001,92.145874,573000
15/01/2013,102.309998,103.720001,101.959999,103.449997,92.737518,1165500
16/01/2013,104.25,104.25,102.57,102.900002,92.244484,1087000
17/01/2013,103.110001,103.510002,102.639999,103.330002,92.629959,1066800
18/01/2013,103.75,103.830002,102.699997,103.290001,92.594093,949500
22/01/2013,103.059998,104.82,103.059998,104.760002,93.91188,1288400
23/01/2013,104.599998,104.82,103.879997,104.110001,93.329178,696100
24/01/2013,104.199997,104.919998,103.739998,104.019997,93.248482,533000
25/01/2013,104.360001,104.43,103.25,103.989998,93.221619,584800
28/01/2013,104,104.010002,103.089996,103.129997,92.450638,894500
29/01/2013,103.110001,103.5,102.730003,103.419998,92.710625,851600
30/01/2013,103.330002,103.519997,102.349998,103.309998,92.61203,1168400
31/01/2013,102.860001,102.980003,101.830002,102.690002,92.056229,1128500
01/02/2013,103.230003,104.139999,102.669998,103.919998,93.158844,721900
04/02/2013,103.330002,103.480003,102.440002,102.699997,92.06517,521800
05/02/2013,103.080002,104.629997,102.660004,104.459999,93.642952,773300
06/02/2013,103.68,104.139999,103.389999,104.050003,93.275383,587800
07/02/2013,103.660004,104.330002,102.980003,103.790001,93.042313,498700
08/02/2013,103.849998,104.540001,103.610001,104.389999,93.580177,408200
11/02/2013,103.93,104.360001,103.739998,104.239998,93.445717,468300
12/02/2013,104.360001,105.68,104.209999,105.449997,94.530434,653500
13/02/2013,105.690002,105.860001,104.410004,104.669998,93.831192,660100
14/02/2013,104.510002,104.919998,104.029999,104.599998,93.76844,794000
15/02/2013,104.980003,105.099998,104,104.830002,93.974625,639200
19/02/2013,104.989998,105.889999,104.870003,105.779999,94.826248,1174600
20/02/2013,105.410004,105.519997,104.540001,104.650002,93.813263,666100
