Date,Open,High,Low,Close,Adj Close,Volume
30/11/2012,13.09,13.17,13.03,13.1,12.506357,7429800
03/12/2012,13.12,13.23,12.96,12.99,12.401343,9524100
04/12/2012,13,13.07,12.82,12.88,12.296328,9360700
05/12/2012,12.92,13.05,12.87,12.93,12.344062,11681100
06/12/2012,13,13.07,12.88,13.06,12.468171,5773300
07/12/2012,13.1,13.42,13.08,13.42,12.811856,7642400
10/12/2012,13.37,13.46,13.14,13.37,12.764123,7528000
11/12/2012,13.45,13.71,13.44,13.67,13.050529,9028200
12/12/2012,13.71,13.83,13.62,13.67,13.050529,10462900
13/12/2012,13.68,13.82,13.63,13.75,13.126904,8083100
14/12/2012,13.58,13.74,13.43,13.7,13.079167,10440000
17/12/2012,13.76,13.89,13.65,13.87,13.241465,8355000
18/12/2012,13.88,14.23,13.78,14.21,13.566056,8818300
19/12/2012,14.26,14.66,14.2,14.47,13.814274,20338700
20/12/2012,14.51,14.56,14.27,14.46,13.804729,9179900
21/12/2012,14.33,14.42,14.2,14.32,13.671071,12546300
24/12/2012,14.3,14.36,14.21,14.33,13.680617,1699800
26/12/2012,14.35,14.4,14.23,14.26,13.613791,3421800
27/12/2012,14.26,14.33,14,14.21,13.566056,6928700
28/12/2012,14.12,14.25,14.08,14.14,13.499229,5923700
31/12/2012,14.12,14.37,14.08,14.36,13.70926,8220900
02/01/2013,14.67,15.08,14.62,15.08,14.39663,15607600
03/01/2013,15.05,15.2,14.86,15.06,14.377537,14175900
04/01/2013,15.07,15.57,15.05,15.46,14.759408,16143400
07/01/2013,15.41,15.41,15.07,15.27,14.578024,10327300
08/01/2013,15.26,15.34,15.07,15.22,14.530286,9954300
09/01/2013,15.28,15.31,15,15.13,14.444366,7591200
10/01/2013,15.25,15.37,15.14,15.33,14.635303,7617400
11/01/2013,15.29,15.42,15.24,15.39,14.692583,6940000
14/01/2013,15.39,15.41,15.25,15.27,14.578024,8394700
15/01/2013,15.17,15.3,15.11,15.29,14.597115,9215900
16/01/2013,15.16,15.25,14.98,15.05,14.36799,11803900
17/01/2013,15.17,15.3,15.09,15.25,14.558928,11575600
18/01/2013,15.25,15.47,15.21,15.45,14.749865,7547100
22/01/2013,15.44,15.74,15.37,15.71,14.998081,8550400
23/01/2013,15.74,15.8,15.52,15.64,14.931253,8078600
24/01/2013,15.67,15.87,15.66,15.81,15.093551,7063700
25/01/2013,15.84,16.049999,15.81,16.049999,15.322674,8503400
28/01/2013,16.07,16.200001,15.93,16.1,15.37041,9171100
29/01/2013,16.059999,16.639999,16.01,16.469999,15.723646,19967900
30/01/2013,16.450001,16.620001,16.370001,16.51,15.761827,11533500
31/01/2013,16.49,16.66,16.309999,16.530001,15.780926,10907700
01/02/2013,16.629999,16.940001,16.59,16.75,15.990951,12996600
04/02/2013,16.57,16.57,16.360001,16.389999,15.647268,11414400
05/02/2013,16.52,16.77,16.469999,16.65,15.895488,8622100
06/02/2013,16.49,16.809999,16.450001,16.790001,16.087109,11953700
07/02/2013,16.76,17.41,16.49,17.110001,16.393721,33838000
08/02/2013,17.18,17.23,16.809999,16.889999,16.182924,15136100
11/02/2013,16.5,16.879999,16.48,16.73,16.029623,10541400
12/02/2013,16.719999,16.940001,16.719999,16.860001,16.154182,6751600
13/02/2013,16.93,17.07,16.82,16.92,16.21167,6022000
14/02/2013,16.85,16.959999,16.74,16.92,16.21167,6410400
15/02/2013,16.959999,16.969999,16.780001,16.9,16.192505,8270100
19/02/2013,16.940001,17.1,16.889999,17.1,16.384138,7983500
20/02/2013,17.059999,17.059999,16.690001,16.690001,15.991298,6451700
21/02/2013,16.67,16.68,16.290001,16.370001,15.684697,9662600
22/02/2013,16.469999,16.74,16.450001,16.73,16.029623,6038200
25/02/2013,16.84,16.92,16.290001,16.32,15.636786,13134100
26/02/2013,16.24,16.48,15.96,16.209999,15.531391,14907800
27/02/2013,16.219999,16.48,16.15,16.41,15.723017,9841700
28/02/2013,16.43,16.459999,16.24,16.24,15.560137,11225400
01/03/2013,16.219999,16.459999,16,16.4,15.713441,8912900
04/03/2013,16.65,16.83,16.530001,16.780001,16.077528,11573500
05/03/2013,16.82,17.1,16.82,16.98,16.269156,7311700
06/03/2013,17.1,17.639999,17.059999,17.35,16.623667,13776300
07/03/2013,17.34,17.75,17.280001,17.58,16.844036,10576500
08/03/2013,17.709999,17.940001,17.639999,17.66,16.920691,9308000
11/03/2013,17.67,17.809999,17.6,17.709999,16.968596,8878400
12/03/2013,17.67,17.75,17.57,17.74,16.997341,9640900
13/03/2013,17.75,18.110001,17.700001,18.110001,17.351851,9325500
14/03/2013,18,18.34,17.780001,17.98,17.227295,14601800
15/03/2013,17.690001,17.9,17.67,17.860001,17.112322,15854300
18/03/2013,17.6,17.790001,17.57,17.66,16.920691,7213400
19/03/2013,17.690001,17.860001,17.32,17.549999,16.815289,8733500
20/03/2013,17.65,17.82,17.629999,17.75,17.006926,6472800
21/03/2013,17.65,17.780001,17.42,17.459999,16.729065,8813100
22/03/2013,17.51,17.6,17.469999,17.540001,16.805716,4462400
25/03/2013,17.57,17.68,17.450001,17.52,16.786551,6745100
26/03/2013,17.57,17.690001,17.49,17.629999,16.891949,5944200
27/03/2013,17.52,17.549999,17.129999,17.5,16.767389,9129900
28/03/2013,17.549999,17.75,17.48,17.690001,16.949436,7335600
01/04/2013,17.77,17.889999,17.32,17.379999,16.652411,9808200
02/04/2013,17.15,17.379999,17.1,17.309999,16.585339,7923000
03/04/2013,17.33,17.389999,16.65,16.75,16.048786,12077700
04/04/2013,16.76,16.799999,16.51,16.719999,16.020041,11525900
05/04/2013,16.49,16.610001,16.15,16.549999,15.85716,10431500
08/04/2013,16.57,16.82,16.51,16.82,16.115858,6412500
09/04/2013,16.9,17.030001,16.82,16.969999,16.259579,5623800
10/04/2013,17.049999,17.530001,17.040001,17.389999,16.661995,8962300
11/04/2013,17.41,17.690001,17.370001,17.540001,16.805716,8366400
12/04/2013,17.51,17.52,17.129999,17.280001,16.556601,8221400
15/04/2013,17.120001,17.299999,16.59,16.620001,15.92423,10534200
16/04/2013,16.76,16.959999,16.57,16.959999,16.249998,9028000
17/04/2013,16.77,16.77,16.309999,16.469999,15.780507,10135700
18/04/2013,16.48,16.49,16.200001,16.389999,15.703856,8209100
19/04/2013,16.43,16.469999,16.280001,16.389999,15.703856,6389800
22/04/2013,16.42,16.49,16.219999,16.42,15.732599,5994100
23/04/2013,16.450001,16.719999,16.43,16.59,15.895488,9391400
24/04/2013,16.610001,16.73,16.42,16.639999,15.943392,9827000
25/04/2013,16.700001,17.1,16.66,16.75,16.048786,9933200
26/04/2013,16.76,16.84,16.59,16.73,16.029623,6092400
29/04/2013,16.76,16.98,16.75,16.940001,16.230831,4607300
30/04/2013,16.969999,17.030001,16.82,16.959999,16.249998,6004700
01/05/2013,16.940001,17,16.18,16.209999,15.531391,14700900
02/05/2013,16.219999,16.530001,16.049999,16.440001,15.751764,8793100
03/05/2013,16.67,17.549999,16.629999,17.469999,16.738646,16192300
06/05/2013,17.440001,17.67,17.43,17.549999,16.815289,9143800
07/05/2013,17.57,17.73,17.379999,17.440001,16.709904,6003000
08/05/2013,17.389999,17.42,17.129999,17.379999,16.709902,6206600
09/05/2013,17.34,17.83,17.309999,17.51,16.83489,8976400
10/05/2013,17.49,18.299999,17.49,18.09,17.392527,14377600
13/05/2013,18.049999,18.34,17.92,18.15,17.450216,9082400
14/05/2013,18.16,18.77,18.09,18.75,18.027081,15848000
15/05/2013,18.52,19,18.18,18.98,18.248209,18065400
16/05/2013,18.950001,19.25,18.84,18.91,18.180912,13190700
17/05/2013,18.889999,19.370001,18.879999,19.34,18.594334,9694400
20/05/2013,19.200001,19.34,19.110001,19.209999,18.469343,6585700
21/05/2013,19.25,19.309999,19.07,19.17,18.430889,6122200
